kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
畊,"[""田"", ""井""]","[3303, 62]",田,9,コウ,"[""コウ""]",たがや・す,,gēng,g,eng,1,ng,N1+
畉,"[""田"", ""夫""]","[3303, 997]",田,9,フ,"[""フ"", ""ブ""]",,田を耕す,fú,f,u,2,none,N1+
畛,"[""田"", ""彡""]","[3303, 1517]",田,10,シン,"[""シン""]",,あぜ（田の境の小道、畦、畔）,zhěn,zh,en,3,n,N1+
畆,"[""亠"", ""田"", ""厶""]","[69, 3303, 574]",田,9,ホ,"[""ホ"", ""ボウ""]",せ、うね,耕地の面積の単位,mǔ,m,u,3,none,N1+
畚,"[""厶"", ""大"", ""田""]","[574, 994, 3303]",田,10,ホン,"[""ホン""]",ふご,縄でかご状に編んだ物を運ぶ道具,běn,b,en,3,n,N1+
畩,"[""田"", ""亠"", ""衣""]","[3303, 69, 4812]",田,11,,[],,けさ（袈裟）,yī,y,i,1,none,N1+
畤,"[""田"", ""土"", ""寸"", ""寺""]","[3303, 844, 1214, 1215]",田,11,シ,"[""シ"", ""ジ""]",,,zhì,zh,i,4,none,N1+
畧,"[""田"", ""夂"", ""口"", ""各""]","[3303, 980, 593, 614]",田,11,リャク,"[""リャク""]",,省く、おおよそ,lüè,l,üe,4,none,N1+
畫,"[""田"", ""一""]","[3303, 0]",田,12,カク,"[""カク"", ""ガ""]",えが・く,線を引いて区切る、絵を描く、絵,huà,h,ua,4,none,N1+
畭,"[""田"", ""二"", ""小"", ""余""]","[3303, 57, 1230, 143]",田,12,ヨ,"[""ヨ""]",,雑草を焼きはらって作った耕地,yú,y,u,2,none,N1+
畸,"[""田"", ""大"", ""口"", ""丁"", ""可"", ""奇""]","[3303, 994, 593, 1, 603, 1007]",田,13,キ,"[""キ""]",,風変わりな人,jī,j,i,1,none,N1+
當,"[""冖"", ""口"", ""田""]","[349, 593, 3303]",田,13,トウ,"[""トウ""]",あ・たる,正面からぶつかる,dāng,d,ang,1,ng,N1+
疆,"[""弓"", ""土"", ""田""]","[1485, 844, 3303]",田,19,キョウ,"[""キョウ""]",,境、境界,jiāng,j,iang,1,ng,N1+
疇,"[""田"", ""士"", ""工"", ""口"", ""寸"", ""吋"", ""壽""]","[3303, 967, 1357, 593, 1214, 618, 979]",田,19,チュウ,"[""チュウ""]",,たぐい、先、耕地,chóu,ch,ou,2,none,N1+
畴,"[""田"", ""三"", ""寸"", ""寿""]","[3303, 5, 1214, 1217]",田,12,チュウ,"[""チュウ""]",,たぐい、先、耕地,chóu,ch,ou,2,none,N1+
疊,"[""田"", ""冖"", ""且""]","[3303, 349, 12]",田,22,ジョウ,"[""ジョウ""]",たたみ、たた・む,積み重ねる、たたみ,dié,d,ie,2,none,N1+
疉,"[""田"", ""宀""]","[3303, 1151]",田,22,ジョウ,"[""ジョウ""]",たたみ、たた・む,積み重ねる、たたみ,dié,d,ie,2,none,N1+
疂,"[""田"", ""冖"", ""且""]","[3303, 349, 12]",田,16,ジョウ,"[""ジョウ""]",たたみ、たた・む,積み重ねる、たたみ,dié,d,ie,2,none,N1+
疔,"[""广"", ""丁""]","[1420, 1]",病-丙,7,チョウ,"[""チョウ"", ""テイ""]",,かさ（顔にできる悪性の腫れ物）,dīng,d,ing,1,ng,N1+
疚,"[""广"", ""久""]","[1420, 32]",病-丙,8,キュウ,"[""キュウ""]",やま・しい,,jiù,j,iu,4,none,N1+
疝,"[""广"", ""山""]","[1420, 1271]",病-丙,8,サン,"[""サン"", ""セン""]",,下腹部や腰などが、こりで痛む病気,shàn,sh,an,4,n,N1+
疥,"[""广"", ""介""]","[1420, 91]",病-丙,9,カイ,"[""カイ""]",,皮膚病の一つ,jiè,j,ie,4,none,N1+
疣,"[""广"", ""尢"", ""尤""]","[1420, 1236, 1237]",病-丙,9,ユウ,"[""ユウ""]",いぼ,体の表面にできる肉の突起,yóu,y,ou,2,none,N1+
痂,"[""广"", ""力"", ""口"", ""加""]","[1420, 457, 593, 459]",病-丙,10,カ,"[""カ"", ""ケ""]",,かさぶた,jiā,j,ia,1,none,N1+
疳,"[""广"", ""廿""]","[1420, 1473]",病-丙,10,カン,"[""カン""]",,子供のヒステリー,gān,g,an,1,n,N1+
痃,"[""广"", ""亠"", ""幺"", ""玄""]","[1420, 69, 1415, 3204]",病-丙,10,ケン,"[""ケン"", ""ゲン""]",,,xuán,x,uan,2,n,N1+
疵,"[""广"", ""止"", ""匕"", ""此""]","[1420, 2618, 508, 2620]",病-丙,11,シ,"[""シ""]",きず,傷、欠点、過ち,cī,c,i,1,none,N1+
疽,"[""广"", ""且""]","[1420, 12]",病-丙,10,ソ,"[""ソ""]",,悪性のできもの,jū,j,u,1,none,N1+
疸,"[""广"", ""日"", ""一"", ""旦""]","[1420, 2122, 0, 2123]",病-丙,10,タン,"[""タン""]",,胃が弱いために起きる病気,dǎn,d,an,3,n,N1+
疼,"[""广"", ""夂"", ""冬""]","[1420, 980, 360]",病-丙,10,トウ,"[""トウ""]",うず・く,痛む、うずく,téng,t,eng,2,ng,N1+
疱,"[""广"", ""勹"", ""巳""]","[1420, 496, 1365]",病-丙,10,ホウ,"[""ホウ""]",,天然痘,pào,p,ao,4,none,N1+
痍,"[""广"", ""弓"", ""人"", ""大"", ""夷""]","[1420, 1485, 83, 994, 1003]",病-丙,11,イ,"[""イ""]",,傷,yí,y,i,2,none,N1+
痊,"[""广"", ""王"", ""全""]","[1420, 3207, 322]",病-丙,11,セン,"[""セン""]",,病気が治る,quán,q,uan,2,n,N1+
痒,"[""广"", ""羊""]","[1420, 4134]",病-丙,11,ヨウ,"[""ヨウ""]",かゆ・い,,yǎng,y,ang,3,ng,N1+
痙,"[""广"", ""巛"", ""工""]","[1420, 1352, 1357]",病-丙,12,ケイ,"[""ケイ""]",,ひきつる,jìng,j,ing,4,ng,N1+
痣,"[""广"", ""士"", ""心"", ""志""]","[1420, 967, 1563, 1568]",病-丙,12,シ,"[""シ""]",あざ,黒子（ほくろ）,zhì,zh,i,4,none,N1+
痞,"[""广"", ""不"", ""口"", ""否""]","[1420, 8, 593, 629]",病-丙,12,ヒ,"[""ヒ"", ""ビ""]",,つかえ（腹の中に塊のようなものがあって痛む病気）,pǐ,p,i,3,none,N1+
痾,"[""广"", ""口"", ""丁"", ""可"", ""阿""]","[1420, 593, 1, 603, 5737]",病-丙,13,ア,"[""ア""]",,病,ē,,e,1,none,N1+
痿,"[""广"", ""千"", ""木"", ""禾"", ""女"", ""委""]","[1420, 528, 2240, 3649, 1028, 1057]",病-丙,13,イ,"[""イ"", ""ズイ"", ""ヌイ""]",,,wěi,w,ei,3,none,N1+
痼,"[""广"", ""囗"", ""十"", ""口"", ""古"", ""固""]","[1420, 816, 527, 593, 594, 828]",病-丙,13,コ,"[""コ""]",,長患い,gù,g,u,4,none,N1+
瘁,"[""广"", ""亠"", ""人"", ""从"", ""十"", ""卒""]","[1420, 69, 83, 93, 527, 537]",病-丙,13,スイ,"[""スイ""]",,病む、疲れる,cuì,c,ui,4,none,N1+
痰,"[""广"", ""人"", ""火"", ""炎""]","[1420, 83, 3012, 3020]",病-丙,13,タン,"[""タン""]",,咳などと一緒に気管や気管支から出てくる粘液,tán,t,an,2,n,N1+
痺,"[""广"", ""白"", ""十""]","[1420, 3428, 527]",病-丙,13,ヒ,"[""ヒ""]",しび・れる,,bì,b,i,4,none,N1+
痲,"[""广"", ""木"", ""林"", ""麻""]","[1420, 2240, 2292, 6287]",病-丙,13,マ,"[""マ"", ""バ""]",,痺れる,má,m,a,2,none,N1+
痳,"[""广"", ""木"", ""林"", ""麻""]","[1420, 2240, 2292, 6287]",病-丙,13,リン,"[""リン""]",,尿道がただれる病気,lín,l,in,2,n,N1+
