kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
基,"[""其"", ""土""]","[331, 844]",土,11,キ,"[""キ""]",もと、もとい,よりどころ、土台,jī,j,i,1,none,N1+
奇,"[""大"", ""口"", ""丁"", ""可""]","[994, 593, 1, 603]",大,8,キ,"[""キ""]",,普通とは違っている、思いがけない,qí,q,i,2,none,N1+
嬉,"[""女"", ""士"", ""口"", ""喜""]","[1028, 967, 593, 742]",女,15,キ,"[""キ""]",うれ・しい,喜ばしい,xī,x,i,1,none,N1+
寄,"[""宀"", ""大"", ""口"", ""丁"", ""可"", ""奇""]","[1151, 994, 593, 1, 603, 1007]",宀,11,キ,"[""キ""]",よ・る,近づく、凭れる,jì,j,i,4,none,N1+
岐,"[""山"", ""支""]","[1271, 2048]",山,7,キ,"[""キ"", ""ギ""]",,分かれ道,qí,q,i,2,none,N1
希,"[""巾"", ""布""]","[1371, 1373]",巾,7,キ,"[""キ"", ""ケ""]",ねが・う、まれ,,xī,x,i,1,none,N1+
幾,"[""幺"", ""人"", ""戈""]","[1415, 83, 1781]",幺,12,キ,"[""キ""]",いく,どれほど、殆ど、近い,jǐ,j,i,3,none,N1+
忌,"[""己"", ""心""]","[1363, 1563]",心,7,キ,"[""キ""]",い・まわしい、い・む,怨（うら）む、嫌う、喪中、命日,jì,j,i,4,none,N1
揮,"[""冖"", ""車"", ""軍""]","[349, 5280, 5283]",手,12,キ,"[""キ""]",,奮う、まき散らす,huī,h,ui,1,none,N1+
机,"[""木"", ""几""]","[2240, 380]",木,6,キ,"[""キ""]",つくえ,,jī,j,i,1,none,N1+
旗,"[""亠"", ""万"", ""方"", ""其""]","[69, 3, 2104, 331]",方,14,キ,"[""キ""]",はた,（元は熊と虎を描いた旗）,qí,q,i,2,none,N1+
既,"[""无""]",[2119],无,10,キ,"[""キ""]",すで・に,もはや、尽きる,jì,j,i,4,none,N1
期,"[""其"", ""月""]","[331, 2225]",月,12,キ,"[""キ"", ""ゴ""]",,,qī,q,i,1,none,N3
棋,"[""木"", ""其""]","[2240, 331]",木,12,キ,"[""キ"", ""ギ"", ""ゴ""]",,将棋や双六の駒,qí,q,i,2,none,N1
棄,"[""亠"", ""厶"", ""丗"", ""木""]","[69, 574, 15, 2240]",亠,11,キ,"[""キ""]",すて・る,ほったらかす,qì,q,i,4,none,N1
機,"[""木"", ""幺"", ""戈"", ""人"", ""幾""]","[2240, 1415, 1781, 83, 1419]",木,16,キ,"[""キ""]",はた,織物を織る機械、場合,jī,j,i,1,none,N5
帰,"[""冖"", ""巾"", ""帚""]","[349, 1371, 1380]",刀,10,キ,"[""キ""]",かえ・る,もと来たほうに戻る,guī,g,ui,1,none,N5
毅,"[""豕"", ""几"", ""又"", ""殳"", ""立""]","[5106, 380, 578, 2649, 3738]",殳,11,キ,"[""キ"", ""ギ""]",たけし、たけ、つよし,,yì,y,i,4,none,N1
気,"[""气""]",[2677],气,6,キ,"[""キ"", ""ケ""]",,息、ガス状をしたもの,qì,q,i,4,none,N5
汽,"[""气"", ""気""]","[2677, 2678]",水,7,キ,"[""キ""]",,湯気（熱い水からたつ蒸気）,qì,q,i,4,none,N1
畿,"[""田"", ""幺"", ""戈""]","[3303, 1415, 1781]",田,10,キ,"[""キ""]",,都に近い地域,jī,j,i,1,none,N1+
祈,"[""斤""]",[2095],示,8,キ,"[""キ"", ""ギ""]",いの・る,神仏に願いごとをする,qí,q,i,2,none,N1
季,"[""子"", ""千"", ""木"", ""禾""]","[1128, 528, 2240, 3649]",子,8,キ,"[""キ""]",すえ,,jì,j,i,4,none,N1+
稀,"[""千"", ""木"", ""禾""]","[528, 2240, 3649]",禾,12,キ,"[""キ"", ""ケ""]",まれ,めったにない、少ない,xī,x,i,1,none,N1+
紀,"[""幺"", ""小"", ""糸"", ""己""]","[1415, 1230, 3930, 1363]",糸,9,キ,"[""キ"", ""コ""]",,いとぐち、おさめる、き、しるす、のり,jì,j,i,4,none,N2
徽,"[""彳"", ""山"", ""幺"", ""小"", ""糸"", ""攵""]","[1527, 1271, 1415, 1230, 3930, 2050]",彳,14,キ,"[""キ""]",,美しい・良い・印,huī,h,ui,1,none,N1+
規,"[""夫"", ""目"", ""儿"", ""見""]","[997, 3470, 301, 4906]",見,11,キ,"[""キ""]",のり,,guī,g,ui,1,none,N3
記,"[""言"", ""己""]","[4935, 1363]",言,10,キ,"[""キ""]",しる・す,書き付ける、覚える,jì,j,i,4,none,N4
貴,"[""口"", ""目"", ""貝""]","[593, 3470, 5126]",貝,12,キ,"[""キ""]",たっと・い、とうと・い,地位が高い、尊敬する,guì,g,ui,4,none,N1+
起,"[""土"", ""走"", ""己""]","[844, 5195, 1363]",走,10,キ,"[""キ""]",お・きる,立ち上がる、目が覚める、始める,qǐ,q,i,3,none,N4
軌,"[""車"", ""九""]","[5280, 42]",車,9,キ,"[""キ""]",,レール、車の轍（わだち）、法度（はっと）,guǐ,g,ui,3,none,N1+
輝,"[""儿"", ""光"", ""冖"", ""車"", ""軍""]","[301, 310, 349, 5280, 5283]",車,15,キ,"[""キ""]",かがや・く,光りかがやく,huī,h,ui,1,none,N1+
飢,"[""艮"", ""良"", ""食"", ""几""]","[4387, 4388, 5957, 380]",食,10,キ,"[""キ""]",う・える,,jī,j,i,1,none,N1+
騎,"[""馬"", ""大"", ""口"", ""丁"", ""可""]","[6005, 994, 593, 1, 603]",馬,16,キ,"[""キ""]",,馬に乗る,qí,q,i,2,none,N1+
鬼,"[""田"", ""儿"", ""厶""]","[3303, 301, 574]",鬼,10,キ,"[""キ""]",おに,想像上の恐ろしい怪物,guǐ,g,ui,3,none,N1+
亀,"[""日"", ""曰""]","[2122, 2211]",亀,11,キ,"[""キ""]",かめ,,guī,g,ui,1,none,N1+
偽,"[""勹"", ""為""]","[496, 3030]",人,11,ギ,"[""ギ""]",いつわ・る,嘘を言う、にせ,wěi,w,ei,3,none,N1+
儀,"[""戈"", ""我"", ""義""]","[1781, 1788, 4144]",人,15,ギ,"[""ギ""]",,のり（法）、作法、贈り物,yí,y,i,2,none,N1+
妓,"[""女"", ""十"", ""又"", ""支""]","[1028, 527, 578, 2048]",女,7,ギ,"[""ギ""]",,芸者,jì,j,i,4,none,N1+
宜,"[""宀"", ""且""]","[1151, 12]",宀,8,ギ,"[""ギ""]",よろ・しい,,yí,y,i,2,none,N1+
戯,"[""虍"", ""七"", ""虚"", ""戈""]","[4670, 2, 4675, 1781]",戈,15,ギ,"[""ギ"", ""ゲ""]",たわむ・れる、ざ・れる,遊ぶ、ふざける,hū,h,u,1,none,N1+
技,"[""支""]",[2048],手,7,ギ,"[""ギ"", ""キ""]",わざ,,jì,j,i,4,none,N3
擬,"[""匕"", ""大"", ""矢"", ""疋"", ""疑""]","[508, 994, 3530, 3349, 3352]",手,17,ギ,"[""ギ""]",なぞら・える,似せる,nǐ,n,i,3,none,N1+
欺,"[""其"", ""八"", ""人"", ""欠""]","[331, 325, 83, 2595]",欠,12,ギ,"[""ギ"", ""キ""]",あざむ・く,だます,qī,q,i,1,none,N1+
犠,"[""戈"", ""我"", ""義""]","[1781, 1788, 4144]",牛,17,ギ,"[""ギ""]",,いけにえ（祖先の祭りに供える純色で形体の完全な牛）,xī,x,i,1,none,N1+
疑,"[""匕"", ""大"", ""矢"", ""疋""]","[508, 994, 3530, 3349]",疋,14,ギ,"[""ギ""]",うたが・う,怪しむ,yí,y,i,2,none,N2
祇,"[""氏""]",[2674],示,8,キ,"[""キ"", ""ギ""]",,地の神,qí,q,i,2,none,N1+
義,"[""羊"", ""戈"", ""我""]","[4134, 1781, 1788]",羊,13,ギ,"[""ギ""]",,,yì,y,i,4,none,N1+
蟻,"[""虫"", ""戈"", ""我""]","[4680, 1781, 1788]",虫,19,ギ,"[""ギ""]",あり,虫の名,yǐ,y,i,3,none,N1+
誼,"[""言"", ""宀"", ""且"", ""宜""]","[4935, 1151, 12, 1167]",言,15,ギ,"[""ギ""]",よしみ,良い、宜（よろ）しい,yì,y,i,4,none,N1+
議,"[""言"", ""戈"", ""我""]","[4935, 1781, 1788]",言,20,ギ,"[""ギ""]",,計る、相談する、誹る,yì,y,i,4,none,N4
掬,"[""勹"", ""米""]","[496, 3881]",手,11,キク,"[""キク""]",すく・う,手で水をすくいとる,jū,j,u,1,none,N1+
菊,"[""勹"", ""米""]","[496, 3881]",艸,11,キク,"[""キク""]",,草の名,jú,j,u,2,none,N1+
鞠,"[""廿"", ""口"", ""十"", ""革"", ""勹"", ""米""]","[1473, 593, 527, 5865, 496, 3881]",革,17,キク,"[""キク""]",まり,革で包んだまり,jū,j,u,1,none,N1+
吉,"[""士"", ""口""]","[967, 593]",口,6,キチ,"[""キチ"", ""キツ""]",,,jí,j,i,2,none,N1+
吃,"[""口"", ""乙"", ""乞""]","[593, 41, 43]",口,6,キツ,"[""キツ""]",ども・る,言葉がつかえる,chī,ch,i,1,none,N1+
喫,"[""口"", ""刀"", ""大"", ""契""]","[593, 396, 994, 1013]",口,12,キツ,"[""キツ"", ""ケキ""]",,食べる、飲む、吸う,chī,ch,i,1,none,N1+
桔,"[""木"", ""士"", ""口"", ""吉""]","[2240, 967, 593, 616]",木,9,ケツ,"[""ケツ"", ""キツ""]",,,jú,j,u,2,none,N1+
橘,"[""木"", ""予"", ""矛"", ""冂"", ""口"", ""冏""]","[2240, 53, 3528, 336, 593, 343]",木,16,キツ,"[""キツ""]",たちばな,木の名,jú,j,u,2,none,N1+
詰,"[""言"", ""士"", ""口"", ""吉""]","[4935, 967, 593, 616]",言,13,キツ,"[""キツ""]",つ・める,入れ込む,jié,j,ie,2,none,N1
砧,"[""口"", ""石"", ""占""]","[593, 3538, 545]",石,10,チン,"[""チン""]",きぬた,,zhēn,zh,en,1,n,N1+
杵,"[""木"", ""午""]","[2240, 532]",木,8,ショ,"[""ショ""]",きね,臼に入れたものを搗（つ）く道具,chǔ,ch,u,3,none,N1+
黍,"[""千"", ""木"", ""禾"", ""水""]","[528, 2240, 3649, 2682]",黍,12,ショ,"[""ショ""]",きび,,shǔ,sh,u,3,none,N1+
却,"[""土"", ""厶"", ""去"", ""卩""]","[844, 574, 575, 547]",卩,7,キャク,"[""キャク""]",かえ・って,退く、予期に反して,què,q,ue,4,none,N1+
客,"[""宀"", ""夂"", ""口"", ""各""]","[1151, 980, 593, 614]",宀,9,カク,"[""カク"", ""キャク""]",,,kè,k,e,4,none,N1+
脚,"[""月"", ""土"", ""厶"", ""去"", ""卩""]","[2225, 844, 574, 575, 547]",月,11,キャク,"[""キャク""]",あし,足全体、下方,jiǎo,j,iao,3,none,N1+
虐,"[""七"", ""虍""]","[2, 4670]",虍,10,ギャク,"[""ギャク""]",しいた・げる,惨い目に合わせる,nüè,n,üe,4,none,N1
逆,"[""一"", ""屮""]","[0, 1269]",道-首,9,ギャク,"[""ギャク""]",さか・らう,反対のやり方や姿,nì,n,i,4,none,N1+
丘,"[""一""]",[0],一,5,キュウ,"[""キュウ"", ""ク""]",おか,低い山,qiū,q,iu,1,none,N1+
久,"[""丿""]",[29],丿,3,キュウ,"[""キュウ"", ""ク""]",ひさ・しい,時間が長くかかる,jiǔ,j,iu,3,none,N1+
仇,"[""九""]",[42],人,4,キュウ,"[""キュウ"", ""グ""]",あだ、かたき,恨みがある人、仕返し,chóu,ch,ou,2,none,N1+
休,"[""木""]",[2240],人,6,キュウ,"[""キュウ""]",やす・む,,xiū,x,iu,1,none,N5
及,"[""丿"", ""乃""]","[29, 31]",丿,3,キュウ,"[""キュウ""]",およ・び、およ・ぶ,追いつく,jí,j,i,2,none,N1+
吸,"[""口"", ""丿"", ""乃"", ""及""]","[593, 29, 31, 580]",口,6,キュウ,"[""キュウ""]",す・う,,xī,x,i,1,none,N1+
宮,"[""宀"", ""口"", ""呂""]","[1151, 593, 643]",宀,10,キュウ,"[""キュウ"", ""グウ"", ""ク""]",みや,皇居、皇族、神社,gōng,g,ong,1,ng,N1+
弓,[],[],弓,3,キュウ,"[""キュウ""]",ゆみ,矢を飛ばす道具,gōng,g,ong,1,ng,N1+
急,"[""心""]",[1563],心,9,キュウ,"[""キュウ""]",いそ・ぐ、せ・く,,jí,j,i,2,none,N1+
救,"[""水"", ""求"", ""攵""]","[2682, 2688, 2050]",攵,11,キュウ,"[""キュウ""]",すく・う,助け出す,jiù,j,iu,4,none,N3
朽,"[""木""]",[2240],木,6,キュウ,"[""キュウ""]",くち・る,,xiǔ,x,iu,3,none,N1+
求,"[""水""]",[2682],水,7,キュウ,"[""キュウ"", ""ブ""]",もと・める,探す,qiú,q,iu,2,none,N1+
汲,"[""丿"", ""乃"", ""及""]","[29, 31, 580]",水,6,キュウ,"[""キュウ""]",く・む,水を掬い上げる、引く,jí,j,i,2,none,N1+
泣,"[""立""]",[3738],水,8,キュウ,"[""キュウ""]",な・く,声を出さずに泣く、涙,qì,q,i,4,none,N3
灸,"[""丿"", ""久"", ""人"", ""火""]","[29, 32, 83, 3012]",火,7,キュウ,"[""キュウ""]",,おきゅう,jiǔ,j,iu,3,none,N1+
球,"[""王"", ""水"", ""求""]","[3207, 2682, 2688]",王,11,キュウ,"[""キュウ"", ""ク""]",たま,ボール、毬（まり）状のもの,qiú,q,iu,2,none,N1+
究,"[""宀"", ""八"", ""穴"", ""九""]","[1151, 325, 3707, 42]",穴,7,キュウ,"[""キュウ""]",きわ・める,調べ尽くす,jiū,j,iu,1,none,N3
窮,"[""宀"", ""八"", ""穴"", ""身"", ""弓""]","[1151, 325, 3707, 5271, 1485]",穴,15,キュウ,"[""キュウ""]",きわ・める,迫る、行き詰まる,qióng,q,iong,2,ng,N1+
笈,"[""竹"", ""丿"", ""乃"", ""及""]","[3761, 29, 31, 580]",竹,9,キュウ,"[""キュウ""]",おい,物を入れて背負う箱,jí,j,i,2,none,N1+
級,"[""幺"", ""小"", ""糸"", ""丿"", ""乃"", ""及""]","[1415, 1230, 3930, 29, 31, 580]",糸,9,キュウ,"[""キュウ""]",,階段、順位,jí,j,i,2,none,N4
糾,"[""幺"", ""小"", ""糸""]","[1415, 1230, 3930]",糸,9,キュウ,"[""キュウ""]",あざな・う、ただ・す,紐を撚り合わせる、取り調べる,jiū,j,iu,1,none,N1+
給,"[""幺"", ""小"", ""糸"", ""合""]","[1415, 1230, 3930, 615]",糸,12,キュウ,"[""キュウ""]",たま・う,,gěi,g,ei,3,none,N1+
旧,"[""日""]",[2122],日,5,キュウ,"[""キュウ"", ""グ"", ""ク""]",ふる・い,古い、昔,jiù,j,iu,4,none,N1+
牛,[],[],牛,4,ギュウ,"[""ギュウ""]",うし,家畜の名,niú,n,iu,2,none,N5
去,"[""土"", ""厶""]","[844, 574]",厶,5,キョ,"[""キョ"", ""コ""]",さ・る,,qù,q,u,4,none,N4
居,"[""尸"", ""古""]","[1241, 594]",尸,8,キョ,"[""キョ"", ""コ""]",い・る、お・る,,jū,j,u,1,none,N1+
巨,"[""二""]",[57],二,5,キョ,"[""キョ"", ""コ""]",,,jù,j,u,4,none,N2
拒,"[""巨""]",[1360],手,8,キョ,"[""キョ""]",こば・む,断る、はねつける,jù,j,u,4,none,N1+
拠,"[""夂"", ""几"", ""処""]","[980, 380, 382]",手,8,キョ,"[""キョ"", ""コ""]",よ・る、より,依る、頼る,jù,j,u,4,none,N1+
挙,"[""一"", ""八"", ""手""]","[0, 325, 1814]",手,10,キョ,"[""キョ""]",あ・げる,手をそろえて持ちあげる,jǔ,j,u,3,none,N1+
渠,"[""巨"", ""木""]","[1360, 2240]",水,12,キョ,"[""キョ""]",,水を通す溝,qú,q,u,2,none,N1+
虚,"[""七"", ""虍""]","[2, 4670]",虍,11,キョ,"[""キョ"", ""コ""]",,中身がない、空（うつ）ろ,xū,x,u,1,none,N1+
許,"[""言"", ""午""]","[4935, 532]",言,11,キョ,"[""キョ"", ""コ""]",ゆる・す、もと,,xǔ,x,u,3,none,N1+
距,"[""口"", ""止"", ""足"", ""巨""]","[593, 2618, 5206, 1360]",足,12,キョ,"[""キョ""]",,隔てる,jù,j,u,4,none,N1+
鋸,"[""金"", ""尸"", ""古"", ""居""]","[5534, 1241, 594, 1251]",金,16,キョ,"[""キョ"", ""コ""]",のこぎり,木材を切る道具,jù,j,u,4,none,N1+
漁,"[""田"", ""魚""]","[3303, 6114]",水,14,ギョ,"[""ギョ"", ""リョウ""]",あさ・る,魚を捕る、貪り奪う,yú,y,u,2,none,N3
禦,"[""彳"", ""止"", ""卩"", ""卸"", ""示""]","[1527, 2618, 547, 556, 3606]",示,16,ギョ,"[""ギョ""]",,防ぐ,yù,y,u,4,none,N1+
魚,"[""田""]",[3303],魚,11,ギョ,"[""ギョ""]",さかな、うお,,yú,y,u,2,none,N5
亨,"[""亠"", ""口"", ""了""]","[69, 593, 52]",亠,7,コウ,"[""コウ"", ""キョウ"", ""ホウ""]",,通る、通ずる,hēng,h,eng,1,ng,N1+
享,"[""亠"", ""口"", ""子""]","[69, 593, 1128]",亠,8,キョウ,"[""キョウ"", ""コウ""]",,受ける、すすめる,xiǎng,x,iang,3,ng,N1+
京,"[""亠"", ""口"", ""小""]","[69, 593, 1230]",亠,8,キョウ,"[""キョウ"", ""ケイ""]",みやこ,都,jīng,j,ing,1,ng,N1+
供,"[""共""]",[329],人,8,キョウ,"[""キョウ"", ""ク""]",そな・える、とも,神仏に捧げる、一緒に行く,gōng,g,ong,1,ng,N1+
侠,"[""人"", ""大""]","[83, 994]",人,8,キョウ,"[""キョウ""]",,子分をかかえて仲間どうしで協力する人たち,xiá,x,ia,2,none,N1+
僑,"[""大"", ""夭"", ""口"", ""呑"", ""冂""]","[994, 999, 593, 649, 336]",人,14,キョウ,"[""キョウ""]",,仮住まい、出稼ぎ,qiáo,q,iao,2,none,N1+
兇,"[""凵"", ""凶"", ""儿""]","[389, 390, 301]",儿,6,キョウ,"[""キョウ""]",,悪い、恐れる,xiōng,x,iong,1,ng,N1+
競,"[""立"", ""口"", ""儿"", ""兄""]","[3738, 593, 301, 305]",立,20,キョウ,"[""キョウ"", ""ケイ""]",きそ・う、せ・る,勝ち負けを争う,jìng,j,ing,4,ng,N3
共,"[""八""]",[325],八,6,キョウ,"[""キョウ""]",とも,一つになって、一緒に,gòng,g,ong,4,ng,N1+
凶,"[""凵""]",[389],凵,4,キョウ,"[""キョウ""]",,災いがある、不吉,xiōng,x,iong,1,ng,N1+
協,"[""十"", ""力""]","[527, 457]",十,8,キョウ,"[""キョウ""]",,力をあわせる,xié,x,ie,2,none,N1+
匡,"[""匚"", ""王""]","[512, 3207]",匚,7,キョウ,"[""キョウ""]",ただ・す,正す、救う、箱,kuāng,k,uang,1,ng,N1+
卿,"[""卯"", ""卩""]","[549, 547]",卩,10,ケイ・キョウ,"[""ケイ・キョウ""]",,国政に参与する重臣、敬称,qīng,q,ing,1,ng,N1+
叫,"[""口""]",[593],口,6,キョウ,"[""キョウ""]",さけ・ぶ,大声を上げる,jiào,j,iao,4,none,N1+
喬,"[""大"", ""夭"", ""口"", ""呑"", ""冂""]","[994, 999, 593, 649, 336]",口,12,キョウ,"[""キョウ""]",,高い,qiáo,q,iao,2,none,N1+
境,"[""土"", ""立"", ""日"", ""儿"", ""竟""]","[844, 3738, 2122, 301, 3748]",土,14,キョウ,"[""キョウ"", ""ケイ""]",さかい,,jìng,j,ing,4,ng,N1+
峡,"[""山"", ""人"", ""大""]","[1271, 83, 994]",山,9,キョウ,"[""キョウ""]",,山の間にはさまれた谷,xiá,x,ia,2,none,N1+
強,"[""弓"", ""厶"", ""口"", ""虫""]","[1485, 574, 593, 4680]",弓,11,キョウ,"[""キョウ"", ""コウ""]",つよ・い、こわ・い、し・いて,固い、無理に,qiáng,q,iang,2,ng,N5
彊,"[""弓"", ""一"", ""田""]","[1485, 0, 3303]",弓,16,キョウ,"[""キョウ""]",,強い、強いる,jiàng,j,iang,4,ng,N1+
怯,"[""土"", ""厶"", ""去""]","[844, 574, 575]",心,8,キョウ,"[""キョウ""]",おび・える,恐れる,qiè,q,ie,4,none,N1+
恐,"[""心"", ""工"", ""几"", ""凡""]","[1563, 1357, 380, 381]",心,10,キョウ,"[""キョウ""]",おそ・れる,怖がる、～するかもしれない,kǒng,k,ong,3,ng,N1+
恭,"[""心"", ""八""]","[1563, 325]",心,10,キョウ,"[""キョウ""]",うやうや・しい,,gōng,g,ong,1,ng,N1+
挟,"[""人"", ""大""]","[83, 994]",手,9,キョウ,"[""キョウ""]",はさ・む,両側からはさむ,xié,x,ie,2,none,N1+
教,"[""土"", ""子"", ""孝"", ""攵""]","[844, 1128, 1137, 2050]",攵,11,キョウ,"[""キョウ""]",おし・える,学問知識を授ける,jiào,j,iao,4,none,N4
橋,"[""木"", ""大"", ""夭"", ""口"", ""呑"", ""冂"", ""喬""]","[2240, 994, 999, 593, 649, 336, 751]",木,16,キョウ,"[""キョウ""]",はし,水や道に掛け渡すもの,qiáo,q,iao,2,none,N1+
況,"[""口"", ""儿"", ""兄""]","[593, 301, 305]",水,8,キョウ,"[""キョウ""]",いわ・んや,まして、様子,kuàng,k,uang,4,ng,N3
狂,"[""王""]",[3207],犬,7,キョウ,"[""キョウ""]",くる・う,,kuáng,k,uang,2,ng,N1+
狭,"[""人"", ""大""]","[83, 994]",犬,9,キョウ,"[""キョウ""]",せま・い、せば・める,,xiá,x,ia,2,none,N1+
矯,"[""大"", ""矢"", ""大"", ""夭"", ""口"", ""呑"", ""冂"", ""喬""]","[994, 3530, 994, 999, 593, 649, 336, 751]",矢,17,キョウ,"[""キョウ""]",た・める,曲がりを直す、偽る,jiǎo,j,iao,3,none,N1+
胸,"[""月"", ""勹"", ""凵"", ""凶"", ""匈""]","[2225, 496, 389, 390, 504]",月,10,キョウ,"[""キョウ"", ""ク""]",むね、むな,腰と首の間の部分,xiōng,x,iong,1,ng,N1
脅,"[""力"", ""月""]","[457, 2225]",月,10,キョウ,"[""キョウ""]",おびや・かす、おど・す,力ずくで人に迫る,xié,x,ie,2,none,N1
興,"[""臼"", ""冂"", ""口"", ""同""]","[4342, 336, 593, 619]",臼,16,コウ,"[""コウ"", ""キョウ""]",お・こる、お・こす,盛んになる、盛り立てる,xìng,x,ing,4,ng,N1+
蕎,"[""大"", ""夭"", ""口"", ""呑"", ""冂"", ""喬""]","[994, 999, 593, 649, 336, 751]",艸,15,キョウ,"[""キョウ""]",,植物の名,qiáo,q,iao,2,none,N1+
郷,"[""幺""]",[1415],邑,11,キョウ,"[""キョウ"", ""ゴウ""]",,向く,xiāng,x,iang,1,ng,N1+
鏡,"[""金"", ""立"", ""日"", ""儿"", ""竟""]","[5534, 3738, 2122, 301, 3748]",金,19,キョウ,"[""キョウ"", ""ケイ""]",かがみ,家具の一,jìng,j,ing,4,ng,N1+
響,"[""立"", ""日"", ""音"", ""幺"", ""郷""]","[3738, 2122, 5900, 1415, 5475]",音,20,キョウ,"[""キョウ""]",ひび・く,音が鳴り渡る、振動が伝わる,xiǎng,x,iang,3,ng,N3
饗,"[""艮"", ""良"", ""食"", ""幺"", ""郷""]","[4387, 4388, 5957, 1415, 5475]",食,20,キョウ,"[""キョウ""]",,もてなす,xiǎng,x,iang,3,ng,N1+
驚,"[""馬"", ""勹"", ""口"", ""句"", ""攵"", ""敬""]","[6005, 496, 593, 595, 2050, 2073]",馬,22,キョウ,"[""キョウ"", ""ケイ""]",おどろ・く,びっくりする,jīng,j,ing,1,ng,N2
仰,"[""卩""]",[547],人,6,ギョウ,"[""ギョウ"", ""コウ""]",あお・ぐ、おお・せ,高い方を見上げる,yǎng,y,ang,3,ng,N1
凝,"[""冫"", ""匕"", ""大"", ""矢"", ""疋"", ""疑""]","[359, 508, 994, 3530, 3349, 3352]",冫,16,ギョウ,"[""ギョウ""]",こ・る,固まる、集中する,níng,n,ing,2,ng,N1
尭,"[""十"", ""儿""]","[527, 301]",儿,8,ギョウ,"[""ギョウ""]",たかし,たかい,yáo,y,ao,2,none,N1+
暁,"[""日"", ""十"", ""儿"", ""尭""]","[2122, 527, 301, 1239]",日,12,ギョウ,"[""ギョウ""]",あかつき,夜明け、諭す,xiǎo,x,iao,3,none,N1
業,"[""木""]",[2240],木,13,ギョウ,"[""ギョウ"", ""ゴウ""]",わざ,暮らしのための仕事,yè,y,e,4,none,N3
局,"[""尸"", ""勹"", ""口"", ""句""]","[1241, 496, 593, 595]",尸,7,キョク,"[""キョク""]",つぼね,女官の部屋、限り、部分、役所,jú,j,u,2,none,N1
曲,"[""日""]",[2122],日,6,キョク,"[""キョク"", ""コク""]",ま・がる,,qū,q,u,1,none,N3
極,"[""木"", ""口"", ""又"", ""亟""]","[2240, 593, 578, 68]",木,12,キョク,"[""キョク""]",きわ・める、ごく,この上なく、非常に、棟,jí,j,i,2,none,N1
玉,"[""王"", ""丶""]","[3207, 24]",王,5,ギョク,"[""ギョク"", ""ゴク""]",たま,美しく高価な石、丸いもの,yù,y,u,4,none,N1
桐,"[""木"", ""冂"", ""冂"", ""口"", ""同""]","[2240, 336, 336, 593, 619]",木,10,トウ,"[""トウ"", ""ドウ""]",きり,落葉樹の名,tóng,t,ong,2,ng,N1+
粁,"[""米"", ""千""]","[3881, 528]",米,9,,[],キロメートル,一メートルの千倍,qiān,q,ian,1,n,N1+
僅,"[""口""]",[593],人,13,キン,"[""キン""]",わず・か,少し,jǐn,j,in,3,n,N1
勤,"[""力"", ""口""]","[457, 593]",力,12,キン,"[""キン"", ""ゴン""]",つと・める,精を出して働く,qín,q,in,2,n,N1
均,"[""土"", ""勹"", ""冫""]","[844, 496, 359]",土,7,キン,"[""キン""]",,等しい,jūn,j,un,1,n,N1
巾,"[""冂""]",[336],巾,3,キン,"[""キン""]",はば,幅、織物,jīn,j,in,1,n,N1+
錦,"[""金"", ""白"", ""巾"", ""帛""]","[5534, 3428, 1371, 1381]",金,16,キン,"[""キン"", ""コン""]",にしき,五色の糸で模様を織り出した絹織物,jǐn,j,in,3,n,N1
斤,[],[],斤,4,キン,"[""キン""]",,重さの単位,jīn,j,in,1,n,N1
欣,"[""斤"", ""人"", ""欠""]","[2095, 83, 2595]",欠,8,キン,"[""キン""]",,喜ぶ,xīn,x,in,1,n,N1+
欽,"[""金"", ""人"", ""欠""]","[5534, 83, 2595]",欠,12,キン,"[""キン"", ""コン""]",,慎む、敬う,qīn,q,in,1,n,N1+
琴,"[""王"", ""今""]","[3207, 90]",王,12,キン,"[""キン"", ""ゴン""]",こと,弦楽器の一種,qín,q,in,2,n,N1
禁,"[""木"", ""林"", ""示""]","[2240, 2292, 3606]",示,13,キン,"[""キン""]",,止める、閉じ込める,jìn,j,in,4,n,N1
禽,"[""亠"", ""凵"", ""凶"", ""冂"", ""厶""]","[69, 389, 390, 336, 574]",禺-田,13,キン,"[""キン""]",とり,鳥,qín,q,in,2,n,N1+
筋,"[""竹"", ""月"", ""力"", ""肋""]","[3761, 2225, 457, 4219]",竹,12,キン,"[""キン"", ""コン""]",すじ,,jīn,j,in,1,n,N1
緊,"[""臣"", ""又"", ""幺"", ""小"", ""糸""]","[4332, 578, 1415, 1230, 3930]",糸,15,キン,"[""キン""]",,堅い、きつい,jǐn,j,in,3,n,N1
芹,"[""斤""]",[2095],艸,7,キン,"[""キン"", ""ゴン""]",せり,湿地に野生する草の名,qín,q,in,2,n,N1+
菌,"[""囗"", ""千"", ""木"", ""禾""]","[816, 528, 2240, 3649]",艸,11,キン,"[""キン""]",,茸（きのこ）,jūn,j,un,1,n,N1
衿,"[""衣"", ""今""]","[4812, 90]",衣,9,キン,"[""キン""]",えり,襟,jīn,j,in,1,n,N1+
